executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_of,mpiRank_gko,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 07:39:50 up 21 days, 16:37,  0 users,  load average: 3.10, 1.18, 0.54', 'Tasks: 2002 total,   3 running, 1999 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.4 us,  0.6 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st', 'MiB Mem : 514459.2 total, 472934.2 free,  29965.3 used,  11559.7 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 481166.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '  21910 root       0 -20   97.5g  21.9g  15.3g S  43.5   4.4   3075:43 mmfsd', ' 164336 eq4036    20   0   57968   6380   3616 R  30.4   0.0   0:00.17 top', ' 164168 eq4036    20   0  397096  84800  18088 D  17.4   0.0   0:20.84 obr', ' 164176 eq4036    20   0  397096  86912  18160 D  13.0   0.0   0:22.13 obr', ' 164201 eq4036    20   0  397104  85016  18300 R  13.0   0.0   0:18.80 obr', '      1 root      20   0  239460  12120   8024 S   0.0   0.0  50:43.17 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:24.27 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp'], 'uptime': ' 07:39:50 up 21 days, 16:37,  0 users,  load average: 3.10, 1.18, 0.54\n', 'libOGL.so': '1290762c95b7fa73a78509b5f32d2cdc  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1990.localdomain,1,0,0.5,2022-05-17 05:39:51.119702,47809f51b1cfaf21f0c862071103dfbd,0
CUDA,CG,NoPrecond,500,1,4,hkn1990.localdomain,1,0,1,2022-05-17 05:39:51.198677,6d5616b06bf10625307ee4ccae66676e,0
CUDA,CG,NoPrecond,500,1,1,hkn1990.localdomain,1,0,0.25,2022-05-17 05:39:51.238307,d2456a528f4e6eff56b4b189a0c467d0,0
CUDA,CG,NoPrecond,500,1,16,hkn1990.localdomain,1,0,4,2022-05-17 05:39:51.260334,b3f6bcd343f19e0c3d9dae39063fe902,0
CUDA,CG,NoPrecond,500,1,64,hkn1990.localdomain,1,0,16,2022-05-17 05:39:51.361314,de819da6947faf1a3670823e8c266fb0,0
CUDA,CG,NoPrecond,500,1,32,hkn1990.localdomain,1,0,8,2022-05-17 05:39:51.663844,f03946965612849bdc9d9e2e516b287b,0
CUDA,CG,NoPrecond,500,1,8,hkn1990.localdomain,1,0,2,2022-05-17 05:39:51.822513,e90f8bfe5d097943885b474f42bd50d7,0
DefaultOF,CG,NoPrecond,500,1,4864,hkn1990.localdomain,1,64,0,2022-05-17 05:39:51.985419,86fbabc2f0342433e098fe5aa8071c3e,0
DefaultOF,CG,NoPrecond,500,1,152,hkn1990.localdomain,1,2,0,2022-05-17 05:39:53.840825,7f471bf3e1d669a378d757b5363139a3,0
DefaultOF,CG,NoPrecond,500,1,304,hkn1990.localdomain,1,4,0,2022-05-17 05:39:53.911547,c589ea926bebd923c8e6cd92f182e5a6,0
