executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1993.localdomain\n', 'top': ['top - 07:35:13 up 29 days, 16:32,  0 users,  load average: 0.48, 0.20, 0.12', 'Tasks: 1806 total,   1 running, 1805 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 468087.6 free,  33927.4 used,  12444.2 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 477186.5 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '2355959 eq4036    20   0   57676   6100   3596 R  28.6   0.0   0:00.15 top', '   1225 root      39  19       0      0      0 S   4.8   0.0   4:01.04 khugepaged', '      1 root      20   0  239408  11960   7900 S   0.0   0.0   4:06.60 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:08.88 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 07:35:13 up 29 days, 16:32,  0 users,  load average: 0.48, 0.20, 0.12\n', 'libOGL.so': '3c6087f6e15bcd5bddf19fab3ff4b2e6  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.4.0'}
CUDA,CG,NoPrecond,500,1,2,hkn1993.localdomain,1,0.5,0,2022-05-25 05:35:13.508381,92ec5f354df2edec761edd205fd0ee33,0
CUDA,CG,NoPrecond,500,1,4,hkn1993.localdomain,1,1,0,2022-05-25 05:35:13.665439,dc7a28024921ab5dfacdbad107788de0,0
CUDA,CG,NoPrecond,500,1,16,hkn1993.localdomain,1,4,0,2022-05-25 05:35:13.779817,55c4fed5dc3af066983adf2c9caa91f9,0
CUDA,CG,NoPrecond,500,1,64,hkn1993.localdomain,1,16,0,2022-05-25 05:35:14.039660,b70ac1b2b90a74602a270e09bc05d239,0
CUDA,CG,NoPrecond,500,1,32,hkn1993.localdomain,1,8,0,2022-05-25 05:35:14.732968,142481b8ba10937326dca8f929b1f6c1,0
CUDA,CG,NoPrecond,500,1,8,hkn1993.localdomain,1,2,0,2022-05-25 05:35:15.125424,149c36046cfbc9a7d47c6b53d1fab49e,0
DefaultOF,CG,NoPrecond,500,1,512,hkn1993.localdomain,1,0,8,2022-05-25 05:35:15.300735,df6e6708882c2d3808287ca9b3f6c675,0
DefaultOF,CG,NoPrecond,500,1,1024,hkn1993.localdomain,1,0,16,2022-05-25 05:35:19.160269,b12a297a101651b4c08cc6671a9ecab7,0
DefaultOF,CG,NoPrecond,500,1,128,hkn1993.localdomain,1,0,2,2022-05-25 05:35:23.199893,68a2be3a5799cb0b1168f0c299b22d45,0
DefaultOF,CG,NoPrecond,500,1,64,hkn1993.localdomain,1,0,1,2022-05-25 05:35:23.839862,9bc59425faff503321bd275c3cd0e22e,0
DefaultOF,CG,NoPrecond,500,1,32,hkn1993.localdomain,1,0,0.5,2022-05-25 05:35:24.166386,8deb240b088cd29207536b9666e13fb6,0
DefaultOF,CG,NoPrecond,500,1,256,hkn1993.localdomain,1,0,4,2022-05-25 05:35:24.390592,506055d671d53225641aa835f8d8f45f,0
CUDA,CG,NoPrecond,400,1,2,hkn1993.localdomain,1,0.5,0,2022-05-25 05:35:25.698371,4120c03a92912e604940976361b7ce86,0
CUDA,CG,NoPrecond,400,1,4,hkn1993.localdomain,1,1,0,2022-05-25 05:35:25.781268,b8b1f1e74843ec10c77419b8cc9511f5,0
CUDA,CG,NoPrecond,400,1,16,hkn1993.localdomain,1,4,0,2022-05-25 05:35:25.875744,c6df3a70fd27751dda87f5f230f0b380,0
CUDA,CG,NoPrecond,400,1,64,hkn1993.localdomain,1,16,0,2022-05-25 05:35:26.077461,a5a225294c65042b23c2792e7504c600,0
CUDA,CG,NoPrecond,400,1,32,hkn1993.localdomain,1,8,0,2022-05-25 05:35:26.583038,f54c8d1a0220e1d1f297fa94fe368788,0
CUDA,CG,NoPrecond,400,1,8,hkn1993.localdomain,1,2,0,2022-05-25 05:35:26.909374,46c766768b27c5d4f5210a59947fd443,0
DefaultOF,CG,NoPrecond,400,1,512,hkn1993.localdomain,1,0,8,2022-05-25 05:35:27.144198,1d3df4bfceb6df592148ba0e6c5e9c2a,0
DefaultOF,CG,NoPrecond,400,1,1024,hkn1993.localdomain,1,0,16,2022-05-25 05:35:30.255750,fe7da1cd306fcac7132319df60e65835,0
DefaultOF,CG,NoPrecond,400,1,128,hkn1993.localdomain,1,0,2,2022-05-25 05:35:36.445978,98d78432b67f4e2cd6baae76fb6de7fd,0
DefaultOF,CG,NoPrecond,400,1,64,hkn1993.localdomain,1,0,1,2022-05-25 05:35:37.450786,4df23a279844a9be923ccc051f7db5e1,0
DefaultOF,CG,NoPrecond,400,1,32,hkn1993.localdomain,1,0,0.5,2022-05-25 05:35:38.020529,c7a67598f2fcb04d53566754ee0b3710,0
DefaultOF,CG,NoPrecond,400,1,256,hkn1993.localdomain,1,0,4,2022-05-25 05:35:38.309228,d32daf4abb07e8820c2b980283cf11be,0
CUDA,CG,NoPrecond,300,1,2,hkn1993.localdomain,1,0.5,0,2022-05-25 05:35:40.131265,6d190c2f8f24a6c28e8e9be4b6a1c119,0
CUDA,CG,NoPrecond,300,1,4,hkn1993.localdomain,1,1,0,2022-05-25 05:35:40.228983,4dca2bfefd6c76c65ef7ab40433730f2,0
CUDA,CG,NoPrecond,300,1,16,hkn1993.localdomain,1,4,0,2022-05-25 05:35:40.345868,bb9b078c0ee111526474229716fda6da,0
CUDA,CG,NoPrecond,300,1,64,hkn1993.localdomain,1,16,0,2022-05-25 05:35:40.575831,f4ef1b53bc11fb35d10f16ecd2c57afe,0
CUDA,CG,NoPrecond,300,1,32,hkn1993.localdomain,1,8,0,2022-05-25 05:35:41.213570,b003271f74bb6292196ae61838816426,0
CUDA,CG,NoPrecond,300,1,8,hkn1993.localdomain,1,2,0,2022-05-25 05:35:41.556065,f4670ef8e538513e790b281a8931d96e,0
DefaultOF,CG,NoPrecond,300,1,512,hkn1993.localdomain,1,0,8,2022-05-25 05:35:41.778235,61724d01557616026e95de6486455797,0
DefaultOF,CG,NoPrecond,300,1,1024,hkn1993.localdomain,1,0,16,2022-05-25 05:35:44.836330,4b7769f6116c09ff9ac870d4aea53eb1,0
DefaultOF,CG,NoPrecond,300,1,128,hkn1993.localdomain,1,0,2,2022-05-25 05:35:50.620672,a96523428cbaa44dbab0bf9b1e3feac3,0
DefaultOF,CG,NoPrecond,300,1,64,hkn1993.localdomain,1,0,1,2022-05-25 05:35:51.536643,e917b8ea3c9ee8f6c3eb4bd12233728a,0
DefaultOF,CG,NoPrecond,300,1,32,hkn1993.localdomain,1,0,0.5,2022-05-25 05:35:52.058470,929315387ad556e5e4893eaab51c9df6,0
DefaultOF,CG,NoPrecond,300,1,256,hkn1993.localdomain,1,0,4,2022-05-25 05:35:52.365052,56c42a044bc6e3f18b19d7415575d6dd,0
CUDA,CG,NoPrecond,200,1,2,hkn1993.localdomain,1,0.5,0,2022-05-25 05:35:53.959646,a15c2c2dadf5563a8c0d03e37c35a65f,0
CUDA,CG,NoPrecond,200,1,4,hkn1993.localdomain,1,1,0,2022-05-25 05:35:54.045343,456432d7bb8798a4a9f6c37c6d89c12e,0
CUDA,CG,NoPrecond,200,1,16,hkn1993.localdomain,1,4,0,2022-05-25 05:35:54.135322,0da893fd81d81c56591c4891953f1e94,0
CUDA,CG,NoPrecond,200,1,64,hkn1993.localdomain,1,16,0,2022-05-25 05:35:54.378085,8b4138d71a14dff81c62cbc4271ccfce,0
CUDA,CG,NoPrecond,200,1,32,hkn1993.localdomain,1,8,0,2022-05-25 05:35:54.995108,3864a1b6a3dde8e82bbfcd95c44bc0fe,0
CUDA,CG,NoPrecond,200,1,8,hkn1993.localdomain,1,2,0,2022-05-25 05:35:55.351741,0aecb76490a9eecc98911adffd0de54b,0
DefaultOF,CG,NoPrecond,200,1,512,hkn1993.localdomain,1,0,8,2022-05-25 05:35:55.518903,01a717cf8337129eb308c5ffa53ecd41,0
DefaultOF,CG,NoPrecond,200,1,1024,hkn1993.localdomain,1,0,16,2022-05-25 05:35:58.437744,654980b1816b8408b28d5828d5975813,0
DefaultOF,CG,NoPrecond,200,1,128,hkn1993.localdomain,1,0,2,2022-05-25 05:36:04.294605,899b92f9979d789e93eae57e0a84500d,0
DefaultOF,CG,NoPrecond,200,1,64,hkn1993.localdomain,1,0,1,2022-05-25 05:36:05.148968,36709edf49be86c880d602c725848dbf,0
DefaultOF,CG,NoPrecond,200,1,32,hkn1993.localdomain,1,0,0.5,2022-05-25 05:36:05.607416,9b68bc75a206161739096d3cb20c395a,0
DefaultOF,CG,NoPrecond,200,1,256,hkn1993.localdomain,1,0,4,2022-05-25 05:36:05.917884,8a2340b1bb33f9da78d01895cda38910,0
CUDA,CG,NoPrecond,100,1,2,hkn1993.localdomain,1,0.5,0,2022-05-25 05:36:07.546988,4644ae691002652e083d5729b87c9c7d,0
CUDA,CG,NoPrecond,100,1,2,hkn1993.localdomain,1,0.5,0,2022-05-25 05:36:07.622227,06492b866c4557c411563c75946f1ecb,0
CUDA,CG,NoPrecond,100,1,4,hkn1993.localdomain,1,1,0,2022-05-25 05:36:07.717675,c83dc206deb1644ae79e4012f97d8d82,0
CUDA,CG,NoPrecond,100,1,16,hkn1993.localdomain,1,4,0,2022-05-25 05:36:07.838685,fc4e6c2c37ae0b8186a6491dc5ec6032,0
CUDA,CG,NoPrecond,100,1,64,hkn1993.localdomain,1,16,0,2022-05-25 05:36:08.092303,729350913f5d6c42d4b56b0dceba7f69,0
CUDA,CG,NoPrecond,100,1,32,hkn1993.localdomain,1,8,0,2022-05-25 05:36:08.786939,d37d91f3b6ba90e78d6641ba947a2465,0
CUDA,CG,NoPrecond,100,1,8,hkn1993.localdomain,1,2,0,2022-05-25 05:36:09.167003,417d52ab953a367e6bdc53735d8a3634,0
DefaultOF,CG,NoPrecond,100,1,512,hkn1993.localdomain,1,0,8,2022-05-25 05:36:09.329837,09738c30c910f7de963946346fa2d2b2,0
DefaultOF,CG,NoPrecond,100,1,1024,hkn1993.localdomain,1,0,16,2022-05-25 05:36:14.012663,84c1289f91cd3444be171d9640cd2053,0
DefaultOF,CG,NoPrecond,100,1,128,hkn1993.localdomain,1,0,2,2022-05-25 05:36:19.484697,bb4269277bd5192bbc7c7c241a0502df,0
DefaultOF,CG,NoPrecond,100,1,64,hkn1993.localdomain,1,0,1,2022-05-25 05:36:20.682645,5f7123ce1bb74ac3d00671000272e5ee,0
DefaultOF,CG,NoPrecond,100,1,32,hkn1993.localdomain,1,0,0.5,2022-05-25 05:36:21.297831,66aa7025be0002eb0b86f28056cf09ef,0
DefaultOF,CG,NoPrecond,100,1,256,hkn1993.localdomain,1,0,4,2022-05-25 05:36:21.676874,d44e76f331c1ef15ddaca52497053cdd,0
