executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,backend_p,processes,mpiRank_gko,mpiRank_of,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1991.localdomain\n', 'top': ['top - 11:12:15 up 105 days, 20:09,  0 users,  load average: 0.82, 8.98, 7.64', 'Tasks: 2103 total,   1 running, 2102 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.2 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 452712.6 free,  40710.8 used,  21035.8 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 470405.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 101861 eq4036    20   0   57968   6740   3712 R  28.6   0.0   0:00.12 top', '  73628 io3047    20   0  943004 110936  21124 S   4.8   0.0   0:49.09 node', '      1 root      20   0  239728  12856   8528 S   0.0   0.0  27:20.47 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:41.78 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 11:12:15 up 105 days, 20:09,  0 users,  load average: 0.82, 8.98, 7.64\n', 'libOGL.so': '6f283d8fd53f5c2acd62baaa550199b2  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
Default,CG,NoPrecond,400,1,76,hkn1991.localdomain,PETSC,1,0,1,2022-08-09 09:12:15.713638,ee22a21cff783abeff7f5d996397ee72,0
CUDA,CG,NoPrecond,400,1,4,hkn1991.localdomain,PETSC,1,0,4,2022-08-09 09:12:15.800118,5fa48546b6fe4b72393756c3f1a5eacd,0
CUDA,CG,NoPrecond,400,1,4,hkn1991.localdomain,Ginkgo,1,1,0,2022-08-09 09:12:15.860937,026e1c554901966c07a98c97a7a66cf6,0
Default,CG,NoPrecond,400,1,76,hkn1991.localdomain,OpenFOAM,1,0,1,2022-08-09 09:12:15.937685,3487df892b65d771e01117913fec5253,0
Default,CG,NoPrecond,300,1,76,hkn1991.localdomain,PETSC,1,0,1,2022-08-09 09:12:16.006476,fd2c208c7de6e1cd716e36ea17637c75,0
CUDA,CG,NoPrecond,300,1,4,hkn1991.localdomain,PETSC,1,0,4,2022-08-09 09:12:16.046314,8b67be593135b1848ff78060d9fc27a9,0
CUDA,CG,NoPrecond,300,1,4,hkn1991.localdomain,Ginkgo,1,1,0,2022-08-09 09:12:16.120788,58e0e2ae051c0fd4808fbb1f6bd9c5ac,0
Default,CG,NoPrecond,300,1,76,hkn1991.localdomain,OpenFOAM,1,0,1,2022-08-09 09:12:16.191657,2156f95a370cebf3d8143a83646b6e12,0
Default,CG,NoPrecond,200,1,76,hkn1991.localdomain,PETSC,1,0,1,2022-08-09 09:12:16.268325,983758d84c93883fd38215275f576429,0
CUDA,CG,NoPrecond,200,1,4,hkn1991.localdomain,PETSC,1,0,4,2022-08-09 09:12:16.309378,f2703e7e7de26bc74c7175a22272f19c,0
CUDA,CG,NoPrecond,200,1,4,hkn1991.localdomain,Ginkgo,1,1,0,2022-08-09 09:12:16.371377,bfdafcf455ef936d16581e30f49ff25d,0
Default,CG,NoPrecond,200,1,76,hkn1991.localdomain,OpenFOAM,1,0,1,2022-08-09 09:12:16.445653,cb1895ce06e4b55638e70db815cddb6b,0
Default,CG,NoPrecond,100,1,76,hkn1991.localdomain,PETSC,1,0,1,2022-08-09 09:12:16.492122,6cc2646c802d4616072b5dac3ee1f97a,0
CUDA,CG,NoPrecond,100,1,4,hkn1991.localdomain,PETSC,1,0,4,2022-08-09 09:12:16.531252,2e1d59d258fe51f3e77c1a4a756fbd76,0
CUDA,CG,NoPrecond,100,1,6,hkn1991.localdomain,Ginkgo,1,6,0,2022-08-09 09:12:16.564651,e5fc484b6a9da9924293cd16dfae5174,0
CUDA,CG,NoPrecond,100,1,2,hkn1991.localdomain,Ginkgo,1,2,0,2022-08-09 09:12:16.609354,a0cad1b3131055b8c3a425cebcd98935,0
CUDA,CG,NoPrecond,100,1,4,hkn1991.localdomain,Ginkgo,1,1,0,2022-08-09 09:12:16.652015,ee14767a74aa1dd42cbc08d692974f5c,0
CUDA,CG,NoPrecond,100,1,8,hkn1991.localdomain,Ginkgo,1,8,0,2022-08-09 09:12:16.689279,ecf854feae929ea17cff5dbbbfc3711c,0
Default,CG,NoPrecond,100,1,76,hkn1991.localdomain,OpenFOAM,1,0,1,2022-08-09 09:12:16.740445,cc0536878dcd6c1a52418a4f3b839907,0
