executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,mpiRank_gko,mpiRank_of,backend_p,timestamp,log_id,run_time
#{'node_data': {'host': 'hkn1990.localdomain\n', 'top': ['top - 13:00:27 up 156 days, 21:57,  0 users,  load average: 0.18, 0.33, 0.71', 'Tasks: 2645 total,   1 running, 2512 sleeping,   0 stopped, 132 zombie', '%Cpu(s):  0.1 us,  0.3 sy,  0.0 ni, 99.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 514459.2 total, 437858.2 free,  44266.4 used,  32334.7 buff/cache', 'MiB Swap:  15258.7 total,  15258.7 free,      0.0 used. 466997.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3008791 eq4036    20   0   56704   7224   3676 R  34.8   0.0   0:00.17 top', '3104577 root      20   0 2480532  31700  28176 S   4.3   0.0 160:13.81 rsyslogd', '      1 root      20   0  235944  12860   8412 S   0.0   0.0 226:24.74 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   1:58.36 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 13:00:27 up 156 days, 21:57,  0 users,  load average: 0.18, 0.33, 0.71\n', 'libOGL.so': '032176771bdf832ae62edd02cb32f00c  /home/hk-project-test-fine/eq4036/OpenFOAM/eq4036-v2112/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.4.1', 'OBR_VERSION': '0.5.0'}
CUDA,CG,NoPrecond,400,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:27.777720,e09fee51f3305c2a7b5160c4ff9267ea,0
CUDA,CG,NoPrecond,400,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:27.825925,ff2e48ab9e5c922d61ad82b0f2c56db9,0
CUDA,CG,NoPrecond,300,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:27.974830,276d210fe6b36d36f4d7428bd5c3ff47,0
CUDA,CG,NoPrecond,300,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:28.026786,b49d290481d23eabe27ca828c1a5da3b,0
CUDA,CG,NoPrecond,200,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:28.147322,c2e4478d4827553ef40844564f5fe5ab,0
CUDA,CG,NoPrecond,200,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:28.193969,053b2aace60d6a6a10b5fd106d6adbee,0
CUDA,CG,NoPrecond,150,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:28.320326,5acee0e11f862aec31c4243d808ba002,0
CUDA,CG,NoPrecond,150,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:28.387314,d26460bfd1026e78544bee832346b984,0
CUDA,CG,NoPrecond,100,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:28.531404,e339d73b38811c26ce589f8100124a52,0
CUDA,CG,NoPrecond,100,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:28.581324,83446fd4062ab6c8b831df6b161729b6,0
CUDA,CG,NoPrecond,350,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:28.688730,412e872cb62b4ae170d6d408e155fd5a,0
CUDA,CG,NoPrecond,350,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:28.734933,a90103752d6d9213b6f08738f9adf638,0
CUDA,CG,NoPrecond,250,1,4,hkn1990.localdomain,1,0,4,PETSC,2022-09-29 11:00:28.895233,a1978d3babffbdd94304eb6086cec308,0
CUDA,CG,NoPrecond,250,1,4,hkn1990.localdomain,1,1,0,Ginkgo,2022-09-29 11:00:28.949750,a19efb0fb02ae61306a9ea06cd9934d3,0
